Bank Number,VREFB Group,Pin Name / Function,Optional Function(s),Configuration Function,F780,F484,DQS for X8/X9 in 780 FBGA,DQS for X16/X18 in 780 FBGA,DQS for X32/X36 in 780 FBGA,DQS for X8/X9 in 484 FBGA,DQS for X16/X18 in 484 FBGA,DQS for X32/X36 in 484 FBGA
B3,  VREFB3N0,  IO,  DIFFIO_B27p,   ,  AE14,  AA10,   ,   ,   ,  DM4B,  DM5B/BWS#5B,  DM5B/BWS#5B
B3,  VREFB3N0,  IO,  DIFFIO_B27n,   ,  AF14,  AB10,   ,   ,   ,   ,  DQ5B,  DQ5B
B3,  VREFB3N0,  CLK15,  DIFFCLK_6p,   ,  AG14,  AA11,   ,   ,   ,   ,   ,   
B3,  VREFB3N0,  CLK14,  DIFFCLK_6n,   ,  AH14,  AB11,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  CLK13,  DIFFCLK_7p,   ,  AG15,  AA12,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  CLK12,  DIFFCLK_7n,   ,  AH15,  AB12,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B28p,   ,  AB15,  AA13,   ,   ,   ,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B28n,   ,  AC15,  AB13,  DM4B,  DM5B/BWS#5B,  DM5B/BWS#5B,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B29p,   ,  AD15,  AA14,   ,   ,   ,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B29n,   ,  AE15,  AB14,   ,  DQ5B,  DQ5B,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,   ,   ,  AA16,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  IO,  VREFB4N3,   ,  AA15,  V12,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B30p,   ,  AF15,   ,  DQ4B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B30n,   ,  AG17,   ,  DQ4B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B31p,   ,  AH17,   ,  DQ4B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B31n,   ,  W16,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N3,  IO,  DIFFIO_B32p,   ,  AF16,  W13,  DQ4B,  DQ5B,  DQ5B,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B32n,   ,  AF17,  Y13,"  DQS4B/CQ5B,DPCLK4","  DQS4B/CQ5B,DPCLK4","  DQS4B/CQ5B,DPCLK4","  DQS4B/CQ5B,DPCLK4","  DQS4B/CQ5B,DPCLK4","  DQS4B/CQ5B,DPCLK4"
B4,  VREFB4N3,  IO,  DIFFIO_B33p,   ,  AB16,  AA15,  DQ4B,  DQ5B,  DQ5B,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B33n,   ,  AE16,  AB15,   ,   ,   ,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B34p,   ,  AE17,  U12,  DQ4B,  DQ5B,  DQ5B,  DQ4B,  DQ5B,  DQ5B
B4,  VREFB4N3,  IO,  DIFFIO_B34n,   ,  AG18,   ,  DQ4B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B35p,   ,  AH18,  AA16,  DQ4B,  DQ5B,  DQ5B,  DM2B,  DM5B/BWS#5B,  DM5B/BWS#5B
B4,  VREFB4N2,  IO,  DIFFIO_B35n,   ,  AH19,  AB16,  DM2B,  DM5B/BWS#5B,  DM5B/BWS#5B,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N2,  IO,  DIFFIO_B36p,   ,  AD17,  T12,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B36n,   ,  AF18,  T13,   ,   ,   ,   ,   ,   
B4,  VREFB4N2,  IO,   ,   ,  AE18,  V13,"  DQS2B/CQ3B,DPCLK5","  DQS2B/CQ3B,DPCLK5","  DQS2B/CQ3B,DPCLK5","  DQS2B/CQ3B,DPCLK5","  DQS2B/CQ3B,DPCLK5","  DQS2B/CQ3B,DPCLK5"
B4,  VREFB4N2,  IO,  VREFB4N2,   ,  Y17,  W14,   ,   ,   ,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B37p,   ,  AG21,   ,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B37n,   ,  AC17,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B38p,   ,  AH21,   ,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B38n,   ,  AG22,  U13,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B39p,   ,  AH22,  V14,  DQ2B,  DQ5B,  DQ5B,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N2,  IO,  DIFFIO_B39n,   ,  AG19,  U14,   ,   ,   ,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B40p,   ,  AH23,  U15,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N2,  IO,  DIFFIO_B40n,   ,  AE19,  V15,  DQ2B,  DQ5B,  DQ5B,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N1,  IO,  DIFFIO_B41p,   ,  AF24,   ,  DQ2B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B41n,   ,  AF19,  W15,   ,   ,   ,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N1,  IO,  DIFFIO_B42p,   ,  AF25,  T14,  DM0B,  DQ5B,  DQ5B,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B42n,   ,  AF20,  T15,  DQ0B,   ,   ,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N1,  IO,   ,   ,  AD18,  AB18,  DQ0B,   ,   ,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N1,  IO,  DIFFIO_B43p,   ,  Y19,  AA17,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B43n,   ,  AE21,  AB17,  DQ0B,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  VREFB4N1,   ,  AC18,  AA18,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B44p,   ,  AB18,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B44n,   ,  AA19,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B45p,   ,  AD19,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B45n,   ,  AE20,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B46p,   ,  AC19,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B46n,   ,  AB19,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  RUP2,   ,  AA17,  AA19,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  RDN2,   ,  AB17,  AB19,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,   ,   ,  AD21,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N1,  IO,  DIFFIO_B47p,   ,  AF21,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B47n,   ,  AE25,   ,  DQ0B,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B48p,   ,  AC21,  W17,   ,   ,   ,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N0,  IO,  DIFFIO_B48n,   ,  AF26,  Y17,"  DQS0B/CQ1B,CDPCLK3","  DQS0B/CQ1B,CDPCLK3","  DQS0B/CQ1B,CDPCLK3","  DQS0B/CQ1B,CDPCLK3","  DQS0B/CQ1B,CDPCLK3","  DQS0B/CQ1B,CDPCLK3"
B4,  VREFB4N0,  IO,  DIFFIO_B49p,   ,  AG25,  AA20,   ,   ,   ,   ,  DQ5B,  DQ5B
B4,  VREFB4N0,  IO,  DIFFIO_B49n,   ,  AH25,  AB20,  DQ0B,   ,   ,  DQ2B,  DQ5B,  DQ5B
B4,  VREFB4N0,  IO,  VREFB4N0,   ,  AB20,  V16,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B50p,   ,  AG23,  U16,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B50n,   ,  AF22,  U17,  DQ0B,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B51p,   ,  AE24,   ,  DQ0B,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B51n,   ,  AG26,   ,  DQ0B,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  PLL4_CLKOUTp,   ,  AE23,  T16,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  PLL4_CLKOUTn,   ,  AF23,  R16,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B52p,   ,  AD22,  R14,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B52n,   ,  AE22,  R15,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B53p,   ,  AB21,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,  DIFFIO_B53n,   ,  AC22,   ,   ,   ,   ,   ,   ,   
B4,  VREFB4N0,  IO,   ,   ,  AH26,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R56n,   ,  AA21,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R56p,   ,  AB22,  AA21,   ,   ,   ,  DM3R/BWS#3R,  DM3R/BWS#3R,  DM1R/BWS#1R
B5,  VREFB5N3,  IO,  DIFFIO_R55n,   ,  AB24,   ,  DM3R/BWS#3R,  DM3R/BWS#3R,  DM1R/BWS#1R,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R55p,   ,  AC24,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  RUP3,   ,  AA22,  T17,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  RDN3,   ,  AB23,  T18,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,   ,   ,  AD25,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,   ,   ,  AF27,  W20,"  DQS3R/CQ3R#,CDPCLK4","  DQS3R/CQ3R#,CDPCLK4","  DQS3R/CQ3R#,CDPCLK4","  DQS3R/CQ3R#,CDPCLK4","  DQS3R/CQ3R#,CDPCLK4","  DQS3R/CQ3R#,CDPCLK4"
B5,  VREFB5N3,  IO,  DIFFIO_R54n,   ,  AE26,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R54p,   ,  AE27,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R53n,   ,  Y22,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R53p,   ,  AD24,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  VREFB5N3,   ,  AA24,  W19,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R52n,   ,  AC25,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R52p,   ,  AD26,   ,  DQ3R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N3,  IO,  DIFFIO_R51n,   ,  AE28,  Y22,  DQ3R,  DQ3R,  DQ1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R51p,   ,  AA23,  Y21,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R50n,   ,  AD28,  U20,  DQ3R,  DQ3R,  DQ1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R50p,   ,  Y23,  U19,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R49n,   ,  AD27,  W22,  DQ3R,  DQ3R,  DQ1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R49p,   ,  AC26,  W21,   ,   ,   ,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R48n,   ,  Y24,   ,  DQ3R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R48p,   ,  W22,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R47n,   ,  AC28,   ,  DQ3R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R47p,   ,  W21,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R46n,   ,  AC27,  P15,  DQ3R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R46p,   ,  AB26,  P16,  DQ3R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N2,  IO,   ,   ,  V26,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  VREFB5N2,   ,  U24,  R17,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,   ,   ,  V22,  P17,   ,   ,   ,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R45n,   ,  AA26,  V22,  DQ3R,  DQ3R,  DQ1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R45p,   ,  U26,  V21,   ,   ,   ,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R44n,   ,  AB28,  R20,  DM1R/BWS#1R,  DM3R/BWS#3R,  DM1R/BWS#1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N2,  IO,  DIFFIO_R44p,   ,  AB27,   ,  DQ1R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N2,  IO,  DIFFIO_R43n,   ,  V21,  U22,   ,   ,   ,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R43p,   ,  Y26,  U21,  DQ1R,  DQ3R,  DQ1R,  DQ3R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R42n,   ,  U20,  R18,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R42p,   ,  W26,  R19,  DQ1R,  DQ3R,  DQ1R,  DM1R/BWS#1R,  DM3R/BWS#3R,  DM1R/BWS#1R
B5,  VREFB5N1,  IO,  DIFFIO_R41n,   ,  W27,   ,  DQ1R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R41p,   ,  W28,   ,  DQ1R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R40n,   ,  AB25,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R40p,   ,  V28,  N16,  DQ1R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R39n,   ,  AA25,  R22,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R39p,   ,  V27,  R21,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  VREFB5N1,   ,  U23,  P20,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,   ,   ,  W25,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R38n,   ,  V25,  P22,  DQ1R,  DQ3R,  DQ1R,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R38p,   ,  R22,  P21,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R37n,   ,  V24,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R37p,   ,  U27,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R36n,   ,  V23,  N20,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N1,  IO,  DIFFIO_R36p,   ,  U28,  N19,  DQ1R,  DQ3R,  DQ1R,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R35n,   ,  Y25,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N1,  IO,  DIFFIO_R35p,   ,  T26,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R34n,   ,  W20,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R34p,   ,  U22,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R33n,   ,  V20,  N17,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R33p,   ,  T25,  N18,"  DQS1R/CQ1R#,DPCLK6","  DQS1R/CQ1R#,DPCLK6","  DQS1R/CQ1R#,DPCLK6","  DQS1R/CQ1R#,DPCLK6","  DQS1R/CQ1R#,DPCLK6","  DQS1R/CQ1R#,DPCLK6"
B5,  VREFB5N0,  IO,  DIFFIO_R32n,  DEV_OE,  T22,  N22,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R32p,  DEV_CLRn,  T21,  N21,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R31n,   ,  R26,  M22,  DQ1R,  DQ3R,  DQ1R,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N0,  IO,  DIFFIO_R31p,   ,  R25,  M21,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N0,  IO,  DIFFIO_R30n,   ,  R28,  M20,  DM0R,  DM1R/BWS#1R,  DM1R/BWS#1R,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N0,  IO,  DIFFIO_R30p,   ,  U25,  M19,   ,   ,   ,  DQ1R,  DQ3R,  DQ1R
B5,  VREFB5N0,  IO,  VREFB5N0,   ,  R24,  M16,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,   ,   ,  R27,   ,   ,  DQ1R,  DQ1R,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R29n,   ,  R23,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,  DIFFIO_R29p,   ,  R21,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  IO,   ,   ,  P21,   ,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  CLK7,  DIFFCLK_3n,   ,  Y28,  T22,   ,   ,   ,   ,   ,   
B5,  VREFB5N0,  CLK6,  DIFFCLK_3p,   ,  Y27,  T21,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  CLK5,  DIFFCLK_2n,   ,  J28,  G22,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  CLK4,  DIFFCLK_2p,   ,  J27,  G21,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  CONF_DONE,   ,  CONF_DONE,  P24,  M18,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  MSEL0,   ,  MSEL0,  N22,  M17,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  MSEL1,   ,  MSEL1,  P23,  L18,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  MSEL2,   ,  MSEL2,  M22,  L17,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  MSEL3,   ,  MSEL3,  P22,  K20,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R28n,   ,  K25,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R28p,   ,  M24,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R27n,  INIT_DONE,  P26,  L22,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R27p,  CRC_ERROR,  P25,  L21,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R26n,   ,  H26,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R26p,   ,  L25,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  VREFB6N3,   ,  N21,  K19,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R25n,   ,  N25,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R25p,   ,  G24,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R24n,  nCEO,  P28,  K22,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R24p,  CLKUSR,  P27,  K21,   ,   ,   ,   ,   ,   
B6,  VREFB6N3,  IO,  DIFFIO_R23n,   ,  N26,  J22,"  DQS0R/CQ1R,DPCLK7","  DQS0R/CQ1R,DPCLK7","  DQS0R/CQ1R,DPCLK7","  DQS0R/CQ1R,DPCLK7","  DQS0R/CQ1R,DPCLK7","  DQS0R/CQ1R,DPCLK7"
B6,  VREFB6N3,  IO,  DIFFIO_R23p,   ,  L22,  J21,   ,   ,   ,  DM0R,  DM1R/BWS#1R,  DM1R/BWS#1R
B6,  VREFB6N3,  IO,  DIFFIO_R22n,   ,  M28,  H22,  DQ0R,  DQ1R,  DQ1R,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N2,  IO,  DIFFIO_R22p,   ,  M23,  H21,   ,   ,   ,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N2,  IO,   ,   ,  M27,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R21n,   ,  L20,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R21p,   ,  M26,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R20n,   ,  K22,  K17,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R20p,   ,  L23,  K18,   ,   ,   ,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N2,  IO,   ,   ,  J26,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R19n,   ,  H25,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R19p,   ,  K21,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  VREFB6N2,   ,  M25,  J18,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R18n,   ,  J23,  F22,   ,   ,   ,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N2,  IO,  DIFFIO_R18p,   ,  L28,  F21,  DQ0R,  DQ1R,  DQ1R,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N2,  IO,  DIFFIO_R17n,   ,  L27,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R17p,   ,  L24,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R16n,   ,  E25,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R16p,   ,  K28,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N2,  IO,  DIFFIO_R15n,   ,  F24,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R15p,   ,  K27,   ,  DQ0R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R14n,   ,  J24,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R14p,   ,  L26,   ,  DM2R,  DM1R/BWS#1R,  DM1R/BWS#1R,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R13n,   ,  H23,  H20,   ,   ,   ,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R13p,   ,  J25,  H19,   ,  DQ1R,  DQ1R,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R12n,  nWE,  G28,  E22,  DQ2R,  DQ1R,  DQ1R,  DQ0R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R12p,  nOE,  G27,  E21,  DQ2R,  DQ1R,  DQ1R,   ,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R11n,   ,  H22,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R11p,   ,  H24,   ,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  VREFB6N1,   ,  M21,  H18,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R10n,   ,  G25,  J17,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R10p,   ,  K26,  H16,  DQ2R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R9n,   ,  G26,  D22,   ,   ,   ,  DM2R,  DM1R/BWS#1R,  DM1R/BWS#1R
B6,  VREFB6N1,  IO,  DIFFIO_R9p,   ,  G23,  D21,   ,   ,   ,   ,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R8n,  nAVD,  F28,  F20,  DQ2R,  DQ1R,  DQ1R,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R8p,   ,  F27,  F19,   ,   ,   ,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R7n,  PADD23,  E28,  G18,  DQ2R,  DQ1R,  DQ1R,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N1,  IO,  DIFFIO_R7p,   ,  G22,  H17,   ,   ,   ,   ,   ,   
B6,  VREFB6N1,  IO,  DIFFIO_R6n,   ,  E27,  C22,  DQ2R,  DQ1R,  DQ1R,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N0,  IO,  DIFFIO_R6p,   ,  H21,  C21,   ,   ,   ,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N0,  IO,   ,   ,  F26,   ,  DQ2R,  DQ1R,  DQ1R,   ,   ,   
B6,  VREFB6N0,  IO,  DIFFIO_R5n,  PADD22,  D28,  B22,   ,   ,   ,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N0,  IO,  DIFFIO_R5p,  PADD21,  D27,  B21,  DQ2R,  DQ1R,  DQ1R,  DQ2R,  DQ1R,  DQ1R
B6,  VREFB6N0,  IO,  DIFFIO_R4n,  PADD20,  C27,  C20,"  DQS2R/CQ3R,CDPCLK5","  DQS2R/CQ3R,CDPCLK5","  DQS2R/CQ3R,CDPCLK5","  DQS2R/CQ3R,CDPCLK5","  DQS2R/CQ3R,CDPCLK5","  DQS2R/CQ3R,CDPCLK5"
B6,  VREFB6N0,  IO,  DIFFIO_R4p,   ,  F25,   ,   ,   ,   ,   ,   ,   
